teacher_id,month,skill_score,student_feedback,overall_score
T1,Jan,91,72,81.5
T1,Feb,94,93,93.5
T1,Mar,86,79,82.5
T1,Apr,85,83,84.0
T1,May,75,88,81.5
T1,Jun,70,77,73.5
T1,Jul,62,94,78.0
T1,Aug,69,89,79.0
T1,Sep,61,62,61.5
T1,Oct,72,68,70.0
T1,Nov,85,77,81.0
T1,Dec,63,69,66.0
T2,Jan,67,64,65.5
T2,Feb,63,84,73.5
T2,Mar,90,80,85.0
T2,Apr,95,89,92.0
T2,May,87,79,83.0
T2,Jun,95,76,85.5
T2,Jul,88,60,74.0
T2,Aug,66,81,73.5
T2,Sep,90,79,84.5
T2,Oct,70,87,78.5
T2,Nov,69,59,64.0
T2,Dec,88,93,90.5
T3,Jan,82,99,90.5
T3,Feb,95,92,93.5
T3,Mar,93,96,94.5
T3,Apr,84,89,86.5
T3,May,79,68,73.5
T3,Jun,96,92,94.0
T3,Jul,55,76,65.5
T3,Aug,59,59,59.0
T3,Sep,80,78,79.0
T3,Oct,76,85,80.5
T3,Nov,78,56,67.0
T3,Dec,57,76,66.5
T4,Jan,59,97,78.0
T4,Feb,60,74,67.0
T4,Mar,82,84,83.0
T4,Apr,95,67,81.0
T4,May,91,76,83.5
T4,Jun,78,89,83.5
T4,Jul,93,79,86.0
T4,Aug,70,82,76.0
T4,Sep,90,91,90.5
T4,Oct,62,76,69.0
T4,Nov,79,72,75.5
T4,Dec,86,55,70.5
T5,Jan,91,93,92.0
T5,Feb,72,96,84.0
T5,Mar,93,97,95.0
T5,Apr,91,94,92.5
T5,May,69,60,64.5
T5,Jun,90,76,83.0
T5,Jul,74,89,81.5
T5,Aug,77,98,87.5
T5,Sep,67,55,61.0
T5,Oct,55,70,62.5
T5,Nov,75,99,87.0
T5,Dec,69,86,77.5
T6,Jan,87,74,80.5
T6,Feb,66,84,75.0
T6,Mar,80,81,80.5
T6,Apr,55,61,58.0
T6,May,94,77,85.5
T6,Jun,88,86,87.0
T6,Jul,78,66,72.0
T6,Aug,87,75,81.0
T6,Sep,59,72,65.5
T6,Oct,56,66,61.0
T6,Nov,68,82,75.0
T6,Dec,80,69,74.5
T7,Jan,85,55,70.0
T7,Feb,72,79,75.5
T7,Mar,62,57,59.5
T7,Apr,58,85,71.5
T7,May,67,75,71.0
T7,Jun,91,76,83.5
T7,Jul,73,80,76.5
T7,Aug,81,83,82.0
T7,Sep,73,99,86.0
T7,Oct,98,67,82.5
T7,Nov,71,69,70.0
T7,Dec,77,99,88.0
T8,Jan,70,99,84.5
T8,Feb,67,77,72.0
T8,Mar,91,55,73.0
T8,Apr,62,85,73.5
T8,May,79,80,79.5
T8,Jun,58,71,64.5
T8,Jul,57,65,61.0
T8,Aug,74,69,71.5
T8,Sep,96,58,77.0
T8,Oct,66,95,80.5
T8,Nov,64,87,75.5
T8,Dec,87,79,83.0
T9,Jan,76,66,71.0
T9,Feb,63,60,61.5
T9,Mar,69,94,81.5
T9,Apr,75,65,70.0
T9,May,94,62,78.0
T9,Jun,97,76,86.5
T9,Jul,77,86,81.5
T9,Aug,86,56,71.0
T9,Sep,87,83,85.0
T9,Oct,76,55,65.5
T9,Nov,87,76,81.5
T9,Dec,57,90,73.5
T10,Jan,62,69,65.5
T10,Feb,60,66,63.0
T10,Mar,85,71,78.0
T10,Apr,90,64,77.0
T10,May,78,84,81.0
T10,Jun,61,67,64.0
T10,Jul,68,70,69.0
T10,Aug,73,79,76.0
T10,Sep,86,94,90.0
T10,Oct,82,67,74.5
T10,Nov,67,71,69.0
T10,Dec,95,86,90.5
T11,Jan,78,83,80.5
T11,Feb,74,99,86.5
T11,Mar,99,78,88.5
T11,Apr,80,71,75.5
T11,May,58,80,69.0
T11,Jun,91,95,93.0
T11,Jul,62,67,64.5
T11,Aug,77,59,68.0
T11,Sep,75,61,68.0
T11,Oct,68,67,67.5
T11,Nov,84,59,71.5
T11,Dec,64,60,62.0
T12,Jan,77,80,78.5
T12,Feb,82,59,70.5
T12,Mar,93,58,75.5
T12,Apr,56,80,68.0
T12,May,82,83,82.5
T12,Jun,83,75,79.0
T12,Jul,57,92,74.5
T12,Aug,99,85,92.0
T12,Sep,69,72,70.5
T12,Oct,69,67,68.0
T12,Nov,95,81,88.0
T12,Dec,86,69,77.5
T13,Jan,74,91,82.5
T13,Feb,84,88,86.0
T13,Mar,77,59,68.0
T13,Apr,94,86,90.0
T13,May,84,95,89.5
T13,Jun,86,68,77.0
T13,Jul,75,95,85.0
T13,Aug,87,94,90.5
T13,Sep,90,65,77.5
T13,Oct,60,91,75.5
T13,Nov,59,83,71.0
T13,Dec,94,98,96.0
T14,Jan,70,93,81.5
T14,Feb,62,93,77.5
T14,Mar,69,99,84.0
T14,Apr,66,74,70.0
T14,May,72,62,67.0
T14,Jun,88,99,93.5
T14,Jul,75,86,80.5
T14,Aug,83,60,71.5
T14,Sep,80,77,78.5
T14,Oct,64,73,68.5
T14,Nov,55,79,67.0
T14,Dec,96,61,78.5
T15,Jan,69,64,66.5
T15,Feb,85,83,84.0
T15,Mar,79,98,88.5
T15,Apr,91,72,81.5
T15,May,93,76,84.5
T15,Jun,65,78,71.5
T15,Jul,90,88,89.0
T15,Aug,83,88,85.5
T15,Sep,78,75,76.5
T15,Oct,55,65,60.0
T15,Nov,92,93,92.5
T15,Dec,85,69,77.0
T16,Jan,99,86,92.5
T16,Feb,78,94,86.0
T16,Mar,94,92,93.0
T16,Apr,58,94,76.0
T16,May,72,57,64.5
T16,Jun,95,91,93.0
T16,Jul,59,70,64.5
T16,Aug,98,64,81.0
T16,Sep,62,60,61.0
T16,Oct,78,69,73.5
T16,Nov,83,97,90.0
T16,Dec,87,91,89.0
T17,Jan,93,72,82.5
T17,Feb,98,74,86.0
T17,Mar,66,86,76.0
T17,Apr,63,71,67.0
T17,May,58,66,62.0
T17,Jun,77,91,84.0
T17,Jul,95,68,81.5
T17,Aug,59,63,61.0
T17,Sep,91,68,79.5
T17,Oct,74,92,83.0
T17,Nov,62,55,58.5
T17,Dec,56,89,72.5
T18,Jan,62,66,64.0
T18,Feb,58,71,64.5
T18,Mar,78,58,68.0
T18,Apr,73,87,80.0
T18,May,60,57,58.5
T18,Jun,55,55,55.0
T18,Jul,81,65,73.0
T18,Aug,86,92,89.0
T18,Sep,60,85,72.5
T18,Oct,73,63,68.0
T18,Nov,61,84,72.5
T18,Dec,57,94,75.5
T19,Jan,82,98,90.0
T19,Feb,89,91,90.0
T19,Mar,68,96,82.0
T19,Apr,65,55,60.0
T19,May,66,64,65.0
T19,Jun,73,88,80.5
T19,Jul,81,94,87.5
T19,Aug,80,99,89.5
T19,Sep,65,90,77.5
T19,Oct,75,64,69.5
T19,Nov,95,63,79.0
T19,Dec,92,72,82.0
T20,Jan,71,57,64.0
T20,Feb,64,56,60.0
T20,Mar,88,90,89.0
T20,Apr,87,64,75.5
T20,May,85,97,91.0
T20,Jun,81,86,83.5
T20,Jul,61,55,58.0
T20,Aug,92,83,87.5
T20,Sep,62,66,64.0
T20,Oct,66,59,62.5
T20,Nov,66,91,78.5
T20,Dec,72,90,81.0
T21,Jan,60,92,76.0
T21,Feb,95,69,82.0
T21,Mar,60,65,62.5
T21,Apr,93,78,85.5
T21,May,90,59,74.5
T21,Jun,55,80,67.5
T21,Jul,73,89,81.0
T21,Aug,88,90,89.0
T21,Sep,64,94,79.0
T21,Oct,88,65,76.5
T21,Nov,92,92,92.0
T21,Dec,60,69,64.5
T22,Jan,86,76,81.0
T22,Feb,82,90,86.0
T22,Mar,73,95,84.0
T22,Apr,66,97,81.5
T22,May,83,59,71.0
T22,Jun,63,88,75.5
T22,Jul,69,76,72.5
T22,Aug,94,85,89.5
T22,Sep,63,75,69.0
T22,Oct,85,87,86.0
T22,Nov,65,86,75.5
T22,Dec,79,99,89.0
T23,Jan,90,78,84.0
T23,Feb,58,88,73.0
T23,Mar,80,69,74.5
T23,Apr,82,85,83.5
T23,May,65,89,77.0
T23,Jun,96,74,85.0
T23,Jul,83,82,82.5
T23,Aug,82,91,86.5
T23,Sep,70,90,80.0
T23,Oct,55,62,58.5
T23,Nov,91,58,74.5
T23,Dec,79,55,67.0
T24,Jan,81,95,88.0
T24,Feb,79,62,70.5
T24,Mar,97,82,89.5
T24,Apr,55,60,57.5
T24,May,55,76,65.5
T24,Jun,56,86,71.0
T24,Jul,89,94,91.5
T24,Aug,67,82,74.5
T24,Sep,74,88,81.0
T24,Oct,63,76,69.5
T24,Nov,87,78,82.5
T24,Dec,98,64,81.0
T25,Jan,55,75,65.0
T25,Feb,66,91,78.5
T25,Mar,86,70,78.0
T25,Apr,81,60,70.5
T25,May,62,92,77.0
T25,Jun,55,69,62.0
T25,Jul,85,74,79.5
T25,Aug,73,64,68.5
T25,Sep,77,85,81.0
T25,Oct,77,58,67.5
T25,Nov,98,65,81.5
T25,Dec,86,88,87.0
T26,Jan,61,92,76.5
T26,Feb,63,87,75.0
T26,Mar,65,73,69.0
T26,Apr,79,95,87.0
T26,May,58,79,68.5
T26,Jun,80,83,81.5
T26,Jul,79,70,74.5
T26,Aug,61,62,61.5
T26,Sep,71,75,73.0
T26,Oct,70,58,64.0
T26,Nov,97,63,80.0
T26,Dec,92,56,74.0
T27,Jan,62,85,73.5
T27,Feb,79,97,88.0
T27,Mar,85,79,82.0
T27,Apr,89,93,91.0
T27,May,99,90,94.5
T27,Jun,60,95,77.5
T27,Jul,64,77,70.5
T27,Aug,90,65,77.5
T27,Sep,55,59,57.0
T27,Oct,97,82,89.5
T27,Nov,87,99,93.0
T27,Dec,73,94,83.5
T28,Jan,75,80,77.5
T28,Feb,72,82,77.0
T28,Mar,76,91,83.5
T28,Apr,60,68,64.0
T28,May,97,90,93.5
T28,Jun,85,63,74.0
T28,Jul,78,69,73.5
T28,Aug,79,57,68.0
T28,Sep,75,77,76.0
T28,Oct,70,96,83.0
T28,Nov,64,62,63.0
T28,Dec,65,87,76.0
T29,Jan,91,92,91.5
T29,Feb,92,91,91.5
T29,Mar,95,55,75.0
T29,Apr,97,65,81.0
T29,May,98,88,93.0
T29,Jun,71,97,84.0
T29,Jul,85,77,81.0
T29,Aug,66,92,79.0
T29,Sep,57,69,63.0
T29,Oct,64,64,64.0
T29,Nov,99,62,80.5
T29,Dec,64,67,65.5
T30,Jan,83,64,73.5
T30,Feb,78,94,86.0
T30,Mar,59,68,63.5
T30,Apr,65,71,68.0
T30,May,98,70,84.0
T30,Jun,66,67,66.5
T30,Jul,87,97,92.0
T30,Aug,62,63,62.5
T30,Sep,72,61,66.5
T30,Oct,95,59,77.0
T30,Nov,90,90,90.0
T30,Dec,83,60,71.5
T31,Jan,90,58,74.0
T31,Feb,99,76,87.5
T31,Mar,73,87,80.0
T31,Apr,78,71,74.5
T31,May,93,61,77.0
T31,Jun,78,77,77.5
T31,Jul,97,97,97.0
T31,Aug,75,56,65.5
T31,Sep,56,73,64.5
T31,Oct,66,89,77.5
T31,Nov,86,83,84.5
T31,Dec,97,95,96.0
T32,Jan,86,80,83.0
T32,Feb,58,88,73.0
T32,Mar,73,80,76.5
T32,Apr,79,65,72.0
T32,May,79,79,79.0
T32,Jun,98,70,84.0
T32,Jul,76,71,73.5
T32,Aug,98,79,88.5
T32,Sep,57,65,61.0
T32,Oct,95,75,85.0
T32,Nov,68,63,65.5
T32,Dec,94,88,91.0
T33,Jan,83,80,81.5
T33,Feb,65,72,68.5
T33,Mar,89,98,93.5
T33,Apr,83,91,87.0
T33,May,75,64,69.5
T33,Jun,74,57,65.5
T33,Jul,56,90,73.0
T33,Aug,56,76,66.0
T33,Sep,67,85,76.0
T33,Oct,71,84,77.5
T33,Nov,82,67,74.5
T33,Dec,86,91,88.5
T34,Jan,89,64,76.5
T34,Feb,77,97,87.0
T34,Mar,58,55,56.5
T34,Apr,86,98,92.0
T34,May,72,93,82.5
T34,Jun,57,65,61.0
T34,Jul,66,79,72.5
T34,Aug,91,61,76.0
T34,Sep,98,87,92.5
T34,Oct,73,62,67.5
T34,Nov,63,78,70.5
T34,Dec,79,63,71.0
T35,Jan,89,69,79.0
T35,Feb,59,89,74.0
T35,Mar,68,85,76.5
T35,Apr,78,79,78.5
T35,May,58,84,71.0
T35,Jun,93,99,96.0
T35,Jul,73,67,70.0
T35,Aug,55,75,65.0
T35,Sep,70,82,76.0
T35,Oct,63,71,67.0
T35,Nov,85,65,75.0
T35,Dec,73,87,80.0
T36,Jan,65,97,81.0
T36,Feb,64,70,67.0
T36,Mar,66,67,66.5
T36,Apr,75,70,72.5
T36,May,69,90,79.5
T36,Jun,95,95,95.0
T36,Jul,79,81,80.0
T36,Aug,99,74,86.5
T36,Sep,57,87,72.0
T36,Oct,68,64,66.0
T36,Nov,98,60,79.0
T36,Dec,90,96,93.0
T37,Jan,88,60,74.0
T37,Feb,81,65,73.0
T37,Mar,64,92,78.0
T37,Apr,97,90,93.5
T37,May,90,78,84.0
T37,Jun,74,83,78.5
T37,Jul,78,89,83.5
T37,Aug,92,88,90.0
T37,Sep,78,79,78.5
T37,Oct,99,65,82.0
T37,Nov,88,77,82.5
T37,Dec,70,78,74.0
T38,Jan,60,71,65.5
T38,Feb,74,76,75.0
T38,Mar,82,77,79.5
T38,Apr,66,66,66.0
T38,May,74,60,67.0
T38,Jun,95,56,75.5
T38,Jul,93,95,94.0
T38,Aug,71,89,80.0
T38,Sep,80,81,80.5
T38,Oct,89,84,86.5
T38,Nov,93,94,93.5
T38,Dec,70,93,81.5
T39,Jan,98,94,96.0
T39,Feb,74,64,69.0
T39,Mar,71,80,75.5
T39,Apr,74,69,71.5
T39,May,87,63,75.0
T39,Jun,78,84,81.0
T39,Jul,68,84,76.0
T39,Aug,83,60,71.5
T39,Sep,97,65,81.0
T39,Oct,78,79,78.5
T39,Nov,72,66,69.0
T39,Dec,74,85,79.5
T40,Jan,72,87,79.5
T40,Feb,78,74,76.0
T40,Mar,97,58,77.5
T40,Apr,83,72,77.5
T40,May,95,96,95.5
T40,Jun,98,69,83.5
T40,Jul,91,93,92.0
T40,Aug,58,92,75.0
T40,Sep,65,87,76.0
T40,Oct,67,96,81.5
T40,Nov,85,55,70.0
T40,Dec,95,67,81.0
T41,Jan,74,84,79.0
T41,Feb,84,97,90.5
T41,Mar,87,56,71.5
T41,Apr,55,89,72.0
T41,May,97,81,89.0
T41,Jun,67,69,68.0
T41,Jul,55,64,59.5
T41,Aug,55,86,70.5
T41,Sep,84,77,80.5
T41,Oct,98,70,84.0
T41,Nov,67,68,67.5
T41,Dec,89,95,92.0
T42,Jan,56,88,72.0
T42,Feb,65,86,75.5
T42,Mar,61,72,66.5
T42,Apr,81,73,77.0
T42,May,57,92,74.5
T42,Jun,76,81,78.5
T42,Jul,70,79,74.5
T42,Aug,90,75,82.5
T42,Sep,77,56,66.5
T42,Oct,98,95,96.5
T42,Nov,97,94,95.5
T42,Dec,83,67,75.0
T43,Jan,58,71,64.5
T43,Feb,93,99,96.0
T43,Mar,99,72,85.5
T43,Apr,77,99,88.0
T43,May,71,87,79.0
T43,Jun,67,80,73.5
T43,Jul,82,98,90.0
T43,Aug,93,63,78.0
T43,Sep,80,85,82.5
T43,Oct,64,67,65.5
T43,Nov,97,97,97.0
T43,Dec,90,66,78.0
T44,Jan,95,96,95.5
T44,Feb,91,95,93.0
T44,Mar,60,92,76.0
T44,Apr,82,57,69.5
T44,May,92,81,86.5
T44,Jun,67,84,75.5
T44,Jul,59,74,66.5
T44,Aug,88,74,81.0
T44,Sep,77,63,70.0
T44,Oct,68,60,64.0
T44,Nov,65,88,76.5
T44,Dec,64,76,70.0
T45,Jan,78,86,82.0
T45,Feb,85,58,71.5
T45,Mar,70,98,84.0
T45,Apr,82,63,72.5
T45,May,61,62,61.5
T45,Jun,96,87,91.5
T45,Jul,56,95,75.5
T45,Aug,63,86,74.5
T45,Sep,83,86,84.5
T45,Oct,58,83,70.5
T45,Nov,85,71,78.0
T45,Dec,71,72,71.5
T46,Jan,78,93,85.5
T46,Feb,97,81,89.0
T46,Mar,76,56,66.0
T46,Apr,89,99,94.0
T46,May,76,63,69.5
T46,Jun,89,95,92.0
T46,Jul,88,74,81.0
T46,Aug,94,62,78.0
T46,Sep,99,76,87.5
T46,Oct,91,71,81.0
T46,Nov,93,92,92.5
T46,Dec,57,96,76.5
T47,Jan,63,91,77.0
T47,Feb,94,88,91.0
T47,Mar,58,73,65.5
T47,Apr,82,97,89.5
T47,May,98,99,98.5
T47,Jun,79,64,71.5
T47,Jul,60,79,69.5
T47,Aug,65,56,60.5
T47,Sep,99,82,90.5
T47,Oct,92,80,86.0
T47,Nov,61,99,80.0
T47,Dec,95,73,84.0
T48,Jan,70,71,70.5
T48,Feb,65,63,64.0
T48,Mar,68,79,73.5
T48,Apr,78,77,77.5
T48,May,62,89,75.5
T48,Jun,90,65,77.5
T48,Jul,71,93,82.0
T48,Aug,84,92,88.0
T48,Sep,83,97,90.0
T48,Oct,72,92,82.0
T48,Nov,99,86,92.5
T48,Dec,56,61,58.5
T49,Jan,98,80,89.0
T49,Feb,79,84,81.5
T49,Mar,91,72,81.5
T49,Apr,59,70,64.5
T49,May,95,57,76.0
T49,Jun,77,61,69.0
T49,Jul,78,62,70.0
T49,Aug,58,93,75.5
T49,Sep,94,83,88.5
T49,Oct,61,77,69.0
T49,Nov,82,59,70.5
T49,Dec,79,58,68.5
T50,Jan,61,63,62.0
T50,Feb,87,56,71.5
T50,Mar,85,61,73.0
T50,Apr,64,66,65.0
T50,May,61,77,69.0
T50,Jun,96,61,78.5
T50,Jul,82,80,81.0
T50,Aug,83,95,89.0
T50,Sep,75,92,83.5
T50,Oct,89,95,92.0
T50,Nov,81,57,69.0
T50,Dec,62,96,79.0
